Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma/Taste Threshold Values
adipic acid,196,sour,C(CCC(=O)O)CC(=O)O,flavorDB,The Aroma/Taste threshold values forADIPIC ACIDis unknown
"Adenosine-5'-Diphosphate, free acid",197,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)(O)Op(=O)(O)O)O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
Hexopyranose,206,sweet,C(C1C(C(C(C(O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
pentopyranose,229,sweet,C1C(C(C(C(O1)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Adenosine 5'-triphosphate disodium salt,238,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)(O)Op(=O)(O)Op(=O)(O)O)O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
beta-alanine,239,sweet,C(CN)C(=O)O,flavorDB,The Aroma/Taste threshold values forβ-ALANINEis unknown
benzaldehyde,240,"cherry,almond,sweet,burnt sugar,sharp,strong,bitter",C1=CC=C(C=C1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, oily, almond, cherry, nutty and woody"
benzoic acid,243,"balsam,urine,faint",C1=CC=C(C=C1)C(=O)O,flavorDB,Aroma Threshold Values:85 ppm Taste threshold value:
benzyl alcohol,244,"berry,balsamic,rose,floral,walnut,sweet,cherry,phenolic,flower,grapefruit",C1=CC=C(C=C1)CO,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; chemical, fruity with balsamic nuances"
betaine,247,bland,C[N+](C)(C)CC(=O)[O-],flavorDB,The Aroma/Taste threshold values forBETAINEis unknown
butyraldehyde,261,"bready,chocolate,creamy,pear,vegetable,fatty,earthy,woody,pungent,nutty,wine_like,meaty,spicy,citrus,herbaceous,green,apple,floral,musty,cocoa,fruity,malty",CCCC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; musty, fusel, fermented, bready and yeasty with a malty nuance"
"2,3-butanediol",262,"onion,fruit,creamy,fruity,buttery",CC(C(C)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
1-butanol,263,"oil,vanilla,fruit,fusel,sweet,balsam,medicine,medicinal",CCCCO,flavorDB,Aroma Threshold Values:500 ppb to 509 ppm
butyric acid,264,"butter,sweat,acetic,sharp,rancid,fruit,cheese",CCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 250 ppm; acidic, sour, cheesy, dairy, creamy with a fruity nuance"
formic acid,284,"pungent,vinegar,formyl",C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; acidic, sour and astringent with a fruity depth"
cellobiose,294,sweet,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Aconitic Acid,309,"musty,nutty,mild",C(C(=CC(=O)O)C(=O)O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; nutty, vegetative, musty and slightly caramellic"
citric acid,311,"acidic,sweet",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,flavorDB,Aroma Threshold Values:9.6 to 350 ppm
coumarin,323,"sweet,new mown hay,green,tonka,bitter",C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,"Aroma Threshold Values:Detection at 34 to 50 ppb; recognition, 250 ppb"
4-isopropylbenzyl alcohol,325,"spicy,herb,herbal,leather,caraway,strong,wood,cumin",CC(C)C1=CC=C(C=C1)CO,flavorDB,The Aroma/Taste threshold values forp-ISOPROPYLBENZYL ALCOHOLis unknown
4-isopropylbenzaldehyde,326,"spicy,acid,herbal,sharp,oily,cumin,green",CC(C)C1=CC=C(C=C1)C=O,flavorDB,Taste Threshold Values:Taste characteristics at 10 ppm
2-Methoxy-4-vinylphenol,332,"curry,smoky,clove,peanut,spicy",COC1=C(C=CC(=C1)C=C)O,flavorDB,Aroma Threshold Values:Detection
o-cresol,335,"phenol,musty,medicinal,phenolic",CC1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; sweet medicinal, phenolic and tarlike"
salicylic acid,338,"nutty,faint,phenolic",C1=CC=C(C(=C1)C(=O)O)O,flavorDB,The Aroma/Taste threshold values for2-HYDROXYBENZOIC ACIDis unknown
m-cresol,342,"medical,leather,woody,fecal,phenolic,medicinal,plastic",CC1=CC(=CC=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; phenolic, smoky, balsamic, medicinal and spicy eugenol-like"
octane,356,"alkane,gasoline",CCCCCCCC,flavorDB,The Aroma/Taste threshold values foris unknown
Gallic acid,370,bitter,C1=C(C=C(C(=C1O)O)O)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
octanoic acid,379,"cheesy,sweat,vegetable,waxy,fatty,rancid,oily,cheese",CCCCCCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; creamy, waxy, dirty, sweaty, dairy cheeselike"
"2,5-Diaminopentanoic acid",389,"bark,green,mild",C(CC(C(=O)O)N)CN,flavorDB,Taste Threshold Values:Very mild sweet taste at 500.00 ppm in water
Hexitol,453,sweet,C(C(C(C(C(CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Octanal,454,"lemon,citrus,soap,orange peel,fat,waxy,fatty,aldehydic,green",CCCCCCCC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; aldehyde, green with a peely, citrus, orange note"
guaiacol,460,"spice,vanilla,smoky,sweet,woody,phenolic,medicine,medicinal,smoke",COC1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; woody, phenolic, bacon, savory, smoky and medicinal"
AC1L19bG,474,sweet-like,CN(C)Op(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
58337-43-2,508,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COp(=O)(O)Op(=O)(O)Op(=O)(O)Op(=O)(O)O)O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
propionaldehyde,527,"solvent,alcohol,whiskey,wine,earthy,cocoa,pungent,nutty",CCC=O,flavorDB,Aroma Threshold Values:9.5 to 35 ppb
Dl-Alanine,602,sweet,CC(C(=O)O)N,flavorDB,The Aroma/Taste threshold values forl- and dl-ALANINEis unknown
Hexonic acid,604,sweet,C(C(C(C(C(C(=O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
lactic acid,612,acid,CC(C(=O)O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; acidic sour creamy, dairylike with a fruity mango nuance"
"Adenosine, 5'-phosphoric acid",621,sweet-like,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COp(=O)(O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
2'-Deoxyadenosine 5'-triphosphate disodium salt(dAtp),622,sweet-like,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COp(=O)(O)Op(=O)(O)Op(=O)(O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"2,3-butanedione",650,"butter,caramel,oily,creamy,sweet,pungent,strong",CC(=O)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, buttery, creamy and milky"
CID 653,653,bitter,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
dihydrocoumarin,660,"coconut,tobacco,coumarin,herbal,creamy,sweet,cinnamon,almond,tonka",C1CC(=O)OC2=CC=CC=C21,flavorDB,The Aroma/Taste threshold values forDIHYDROCOUMARINis unknown
"1,3-dihydroxyacetone",670,minty,C(C(=O)CO)O,flavorDB,Taste Threshold Values:Reported to have a taste threshold value lower than that of sucrose with a detection level of 3.9 to 27 ppm and a recognition level of 11 to 52 ppm
dimethylamine,674,ammonia or fish-like odo,CNC,flavorDB,The Aroma/Taste threshold values foris unknown
dimethyl sulfoxide,679,"fatty,mushroom,cheesy,garlic,bitter,oily",CS(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; fatty, salty, garlic and cream corn"
ethanol,702,"alcoholic,ethereal,medical,sweet,strong",CCO,flavorDB,Aroma Threshold Values:8 to 900 ppb
glycine,750,"oily,sweet,fatty,waxy",C(C(=O)O)N,flavorDB,The Aroma/Taste threshold values forGLYCINEis unknown
glycerol,753,sweet,C(C(CO)O)O,flavorDB,"Aroma Threshold Values:Greater than 20,000 ppm"
hydrogen cyanide,768,bitter,C#N,flavorDB,The Aroma/Taste threshold values foris unknown
hydrogen peroxide,784,bitter,OO,flavorDB,The Aroma/Taste threshold values foris unknown
hydroquinone,785, bitter,C1=CC(=CC=C1O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Dl-Isoleucine,791,sweet,CCC(C)C(C(=O)O)N,flavorDB,The Aroma/Taste threshold values fordl-ISOLEUCINEis unknown
indole,798,"burnt,jasmine,mothball,animal,fishy,floral,moth ball,naphthelene,honey,fecal",C1=CC=C2C(=C1)C=CN2,flavorDB,Aroma Threshold Values:140 ppb
indole-3-acetic acid,802,"sour,mild",C1=CC=C2C(=C1)C(=CN2)CC(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"pentane-1,2,3,4,5-pentol",827,sweet,C(C(C(C(CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
6-Deoxyhexopyranose,840,sweet,CC1C(C(C(C(O1)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
fuculose,841,sweet,CC(C(C(C(=O)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
maltotriose,871,sweet,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
melibiose,872,sweet,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
DL-tartaric acid,875,"caramellic,very mild",C(C(C(=O)O)O)(C(=O)O)O,flavorDB,"The Aroma/Taste threshold values for(d-, l-, dl-, meso) TARTARIC ACIDis unknown"
Dl-Methionine,876,"acidic,sulfurous,mild",CSCCC(C(=O)O)N,flavorDB,"The Aroma/Taste threshold values ford,l-METHIONINEis unknown"
methanethiol,878,"sulfur,garlic,gasoline,decomposing cabbage",CS,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; sulfurous, alliaceous, creamy with a surface-ripened cheese top note and a clean, savory, meaty depth"
methylglyoxal,880,"brown,ethereal,acidic,sweet,rum",CC(=O)C=O,flavorDB,"Taste Threshold Values:sweet, caramellic with a dairy creamy nuance"
methanol,887,alcoholic,CO,flavorDB,The Aroma/Taste threshold values foris unknown
naphthalene,931,"dry,pungent,tarry,tar",C1=CC=C2C=CC=CC2=C1,flavorDB,The Aroma/Taste threshold values foris unknown
naringenin,932,bitter,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,flavorDB,The Aroma/Taste threshold values foris unknown
nicotinamide,936,bitter,C1=CC(=CN=C1)C(=O)N,flavorDB,The Aroma/Taste threshold values foris unknown
1-octanol,957,"burnt,orange,rose,waxy,chemical,metal,aldehydic,mushroom,green",CCCCCCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; waxy, green, citrus, orange and aldehydic with a fruity nuance"
3-Hydroxypyruvic acid,964,"sour,cabbage,radish",C(C(=O)C(=O)O)O,flavorDB,The Aroma/Taste threshold values for3-HYDROXY-2-OXOPROPIONIC ACIDis unknown
hexadecanal,984,cardboard,CCCCCCCCCCCCCCCC=O,flavorDB,The Aroma/Taste threshold values foris unknown
palmitic acid,985,"fatty,slightly waxy",CCCCCCCCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:10 ppm
Dl-phenylalanine,994,bitter,C1=CC=C(C=C1)CC(C(=O)O)N,flavorDB,The Aroma/Taste threshold values forDL-PHENYLALANINEis unknown
phenol,996,"phenol,plastic,rubber,phenolic",C1=CC=C(C=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics. at. 3 ppm; spicy, phenolic, tobacco, musty, woody, medicinal, smoky, tarlike and slightly spicy clovelike"
phenylpyruvic acid,997,"almond,acidic,green,sweet,honey,weedy,phenolic",C1=CC=C(C=C1)CC(=O)C(=O)O,flavorDB,The Aroma/Taste threshold values for2-OXO-3-PHENYLPROPIONIC ACIDis unknown
phenylacetaldehyde,998,"hyacinth,honey,clover,sweet,hawthorne,cocoa,grapefruit,green,peanut,floral,bitter",C1=CC=C(C=C1)CC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; floral and honey-like with a sweet floral, fruity, tobacco, with a yellow tropi-cal fruity waxy nuance"
phenylacetic Acid,999,"honeysuckle,sour,waxy,floral,sweet,honey,civet,flower",C1=CC=C(C=C1)CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, floral, chocolate, honey and tobacco"
phenethylamine,1001,"ammoniacal,fishy",C1=CC=C(C=C1)CCN,flavorDB,The Aroma/Taste threshold values forPHENETHYLAMINEis unknown
phosphoric acid,1004,bland,Op(=O)(O)O,flavorDB,The Aroma/Taste threshold values forPHOSPHORIC ACIDis unknown
"1,2-propanediol",1030,"alcoholic,very slight,odorless",CC(CO)O,flavorDB,Aroma Threshold Values:340 ppm
1-propanol,1031,"alcoholic,fermented,alcohol,musty,fusel,pungent,peanut",CCCO,flavorDB,Aroma Threshold Values:600 to 6300 ppm
propionic acid,1032,"cheesy,soy,acidic,vinegar,rancid,pungent",CCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; acidic, dairy with a pronounced fruity lift"
pyrazole,1048,bitter,C1=CNN=C1,flavorDB,The Aroma/Taste threshold values foris unknown
pyridine,1049,"sour,putrid,fishy,rancid,sickening,amine",C1=CC=NC=C1,flavorDB,Aroma Threshold Values:7.9 to 40 ppm
pyruvic acid,1060,"acetic,sour,sharp,caramellic",CC(=O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sharp acidic, sour fruity, with sour creamy and caramellic nuances"
dimethyl sulfide,1068,"sulfur,sulfurous,cabbage,onion,gasoline,vegetable,sulfury,sweet corn,tomato,radish,wild,green",CSC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; sulfureous, vegetative tomato, sweet, creamed corn, corn and asparagus with a dairy creaminess and a slight minty afternote, alliaceous"
"Sorbose, L-",1101,sweet,C(C(C(C(C(=O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
succinic acid,1110,sour,C(CC(=O)O)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Hex-2-ulofuranosyl hexopyranoside,1115,sweet,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
sulfur dioxide,1119,bitter,O=S=O,flavorDB,Aroma Threshold Values:50 to 100 ppm
taurine,1123,"bland,bitter",C(CS(=O)(=O)O)N,flavorDB,The Aroma/Taste threshold values forTAURINEis unknown
tetrahydrothiophene,1127,cabbage,C1CCSC1,flavorDB,The Aroma/Taste threshold values foris unknown
thiamine,1130,bitter,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,flavorDB,The Aroma/Taste threshold values foris unknown
4-Methyl-5-thiazoleethanol,1136,"sulfur,cooked beef juice,fatty",CC1=C(SC=N1)CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; meaty, brothy, roasted, metallic and nutty"
toluene,1140,"paint,sweet",CC1=CC=CC=C1,flavorDB,The Aroma/Taste threshold values foris unknown
D-(+)-trehalose,1143,sweet,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
trimethylamine,1146,"sweaty,fish,fishy,oily,rancid,fruity",CN(C)C,flavorDB,Aroma Threshold Values:500 ppb
vanillin,1183,"vanilla,chocolate,sweet,creamy",COC1=C(C=CC(=C1)C=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, typical vanilla-like, marshmallow, creamy-coumarin, caramellic with a powdery nuance"
"4a(2H)-Naphthol, octahydro-4,8a-dimethyl-",1213,"soil,beet,fresh,earthy,musty,earth",CC1CCCC2(C1(CCCC2)O)C,flavorDB,The Aroma/Taste threshold values foris unknown
dl-Menthol,1254,"camphoraceous,minty",CC1CCC(C(C1)O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; cooling, camphoreous, minty with a clean eucalyptus note"
"2,4-dihydroxybenzoic acid",1491,"phenolic,mild",C1=CC(=C(C=C1O)O)C(=O)O,flavorDB,"The Aroma/Taste threshold values for2,4-DIHYDROXYBENZOIC ACIDis unknown"
DL-Liquiritigenin,1889,bitter,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,flavorDB,The Aroma/Taste threshold values foris unknown
"8-bromo-cAMp, Na",1913,sweet-like,C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3br)N)O)Op(=O)(O1)O,flavorDB,The Aroma/Taste threshold values foris unknown
acetaminophen,1983,bitter,CC(=O)NC1=CC=C(C=C1)O,flavorDB,The Aroma/Taste threshold values foris unknown
"4-(6-amino-9h-purin-9-yl)-6-(hydroxymethyl)tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-2-ol 2-oxide",2024,sweet-like,C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)Op(=O)(O4)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
dl-Alanyl-dl-phenylalanine,2080,sweet,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl hexopyranoside,2108,sweet,COC1C(C(C(C(O1)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
theophylline,2153,bitter,CN1C2=C(C(=O)N(C1=O)C)NC=N2,flavorDB,The Aroma/Taste threshold values foris unknown
amobarbital,2164,bitter,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,flavorDB,The Aroma/Taste threshold values foris unknown
amygdalin,2180,bitter,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Anethole trithione,2194,bitter,COC1=CC=C(C=C1)C2=CC(=S)SS2,flavorDB,The Aroma/Taste threshold values foris unknown
antipyrine,2206,bitter,CC1=CC(=O)N(N1C)C2=CC=CC=C2,flavorDB,The Aroma/Taste threshold values foris unknown
Acetovanillone,2214,"vanilla,sweet,vanillin,faint",CC(=O)C1=CC(=C(C=C1)O)OC,flavorDB,The Aroma/Taste threshold values foris unknown
arecoline,2230,bitter,CN1CCC=C(C1)C(=O)OC,flavorDB,The Aroma/Taste threshold values foris unknown
Aristolochic acid,2236,bitter,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
azathioprine,2265,bitter,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],flavorDB,The Aroma/Taste threshold values foris unknown
barbital,2294,bitter,CCC1(C(=O)NC(=O)NC1=O)CC,flavorDB,The Aroma/Taste threshold values foris unknown
benzamide,2331,bitter,C1=CC=C(C=C1)C(=O)N,flavorDB,The Aroma/Taste threshold values foris unknown
benzyl benzoate,2345,"oil,pineapple,balsamic,herbal,strawberry,oily,faint,sweet,balsam,cherry,almond,herb,cheese",C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; balsamic, fruity with powdery and berry nuances"
benzyl isothiocyanate,2346,"watercress,mild,oily,horseradish,dusty,medicinal",C1=CC=C(C=C1)CN=C=S,flavorDB,"Aroma Threshold Values:Medium strength odor, watercress type; recommend smelling in a 1.0% solution or less"
berberine,2353,bitter,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,flavorDB,The Aroma/Taste threshold values foris unknown
butalbital,2481,bitter,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,flavorDB,The Aroma/Taste threshold values foris unknown
MolMap_000005,2483,bitter,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
caffeine,2519,bitter,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,flavorDB,Taste Threshold Values:See Description
camphor,2537,"camphoreous,camphor",CC1(C2CCC1(C(=O)C2)C)C,flavorDB,The Aroma/Taste threshold values foris unknown
carisoprodol,2576,bitter,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,flavorDB,The Aroma/Taste threshold values foris unknown
1-Hexadecanol,2682,"wax,floral,waxy,flower",CCCCCCCCCCCCCCCCO,flavorDB,The Aroma/Taste threshold values for1-HEXADECANOLis unknown
chloral hydrate,2707,bitter,C(C(Cl)(Cl)Cl)(O)O,flavorDB,The Aroma/Taste threshold values foris unknown
chloroquine,2719,bitter,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,flavorDB,The Aroma/Taste threshold values foris unknown
chlorpheniramine,2725,bitter,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,flavorDB,The Aroma/Taste threshold values foris unknown
Cinchonidine,2757,bitter,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,flavorDB,The Aroma/Taste threshold values foris unknown
Eucalyptol,2758,"mint,pepper,herbal,eucalyptus,sweet,camphor",CC1(C2CCC(O1)(CC2)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; cooling, fresh, oily, green, spicy, pine-like"
ciprofloxacin,2764,bitter,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)f)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
p-Cresol,2879,"smoke,animal,narcissus,phenol,mimosa,medicine,medicinal,phenolic",CC1=CC=C(C=C1)O,flavorDB,Aroma Threshold Values:55 to 100 ppb
dapsone,2955,bitter,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,flavorDB,The Aroma/Taste threshold values foris unknown
Decanoic acid,2969,"sour,citrus,fat,rancid,fatty,unpleasant",CCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:2.2 to 102 ppm
deferiprone,2972,bitter,CC1=C(C(=O)C=CN1C)O,flavorDB,The Aroma/Taste threshold values foris unknown
Nonivamide,2998,bland,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,flavorDB,The Aroma/Taste threshold values forn-NONANOYL-4-HYDROXY-3-METHOXYBENZYL-AMIDEis unknown
dibutyl phthalate,3026,faint,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,flavorDB,The Aroma/Taste threshold values foris unknown
diclofenac,3033,bitter,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,flavorDB,The Aroma/Taste threshold values foris unknown
Difenidol,3055,bitter,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,flavorDB,The Aroma/Taste threshold values foris unknown
diphenhydramine,3100,bitter,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,flavorDB,The Aroma/Taste threshold values foris unknown
benzophenone,3102,"peach,powdery,apricot,rose,balsam,geranium,metallic",C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,flavorDB,The Aroma/Taste threshold values forBENZOPHENONEis unknown
dipyridamole,3108,bitter,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,flavorDB,The Aroma/Taste threshold values foris unknown
dyphylline,3182,bitter,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,flavorDB,The Aroma/Taste threshold values foris unknown
enoxacin,3229,bitter,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)f)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Mepirizole,3242,bitter,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,flavorDB,The Aroma/Taste threshold values foris unknown
eugenol,3314,"clove,sweet,woody,honey,spicy,cinnamon",COC1=C(C=CC(=C1)CC=C)O,flavorDB,Aroma Threshold Values:6 to 100 ppb
