,Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma Taste Threshold Values
63,dimethyl sulfoxide,679,"fatty,mushroom,cheesy,garlic,bitter,oily",CS(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; fatty, salty, garlic and cream corn"
64,ethanol,702,"alcoholic,ethereal,medical,sweet,strong",CCO,flavorDB,Aroma Threshold Values:8 to 900 ppb
66,glycerol,753,sweet,C(C(CO)O)O,flavorDB,"Aroma Threshold Values:Greater than 20,000 ppm"
71,indole,798,"burnt,jasmine,mothball,animal,fishy,floral,moth ball,naphthelene,honey,fecal",C1=CC=C2C(=C1)C=CN2,flavorDB,Aroma Threshold Values:140 ppb
80,methanethiol,878,"sulfur,garlic,gasoline,decomposing cabbage",CS,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; sulfurous, alliaceous, creamy with a surface-ripened cheese top note and a clean, savory, meaty depth"
86,1-octanol,957,"burnt,orange,rose,waxy,chemical,metal,aldehydic,mushroom,green",CCCCCCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; waxy, green, citrus, orange and aldehydic with a fruity nuance"
89,palmitic acid,985,"fatty,slightly waxy",CCCCCCCCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:10 ppm
91,phenol,996,"phenol,plastic,rubber,phenolic",C1=CC=C(C=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics. at. 3 ppm; spicy, phenolic, tobacco, musty, woody, medicinal, smoky, tarlike and slightly spicy clovelike"
93,phenylacetaldehyde,998,"hyacinth,honey,clover,sweet,hawthorne,cocoa,grapefruit,green,peanut,floral,bitter",C1=CC=C(C=C1)CC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; floral and honey-like with a sweet floral, fruity, tobacco, with a yellow tropi-cal fruity waxy nuance"
94,phenylacetic Acid,999,"honeysuckle,sour,waxy,floral,sweet,honey,civet,flower",C1=CC=C(C=C1)CC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, floral, chocolate, honey and tobacco"
97,"1,2-propanediol",1030,"alcoholic,very slight,odorless",CC(CO)O,flavorDB,Aroma Threshold Values:340 ppm
98,1-propanol,1031,"alcoholic,fermented,alcohol,musty,fusel,pungent,peanut",CCCO,flavorDB,Aroma Threshold Values:600 to 6300 ppm
99,propionic acid,1032,"cheesy,soy,acidic,vinegar,rancid,pungent",CCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; acidic, dairy with a pronounced fruity lift"
101,pyridine,1049,"sour,putrid,fishy,rancid,sickening,amine",C1=CC=NC=C1,flavorDB,Aroma Threshold Values:7.9 to 40 ppm
102,pyruvic acid,1060,"acetic,sour,sharp,caramellic",CC(=O)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sharp acidic, sour fruity, with sour creamy and caramellic nuances"
103,dimethyl sulfide,1068,"sulfur,sulfurous,cabbage,onion,gasoline,vegetable,sulfury,sweet corn,tomato,radish,wild,green",CSC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 5 ppm; sulfureous, vegetative tomato, sweet, creamed corn, corn and asparagus with a dairy creaminess and a slight minty afternote, alliaceous"
107,sulfur dioxide,1119,bitter,O=S=O,flavorDB,Aroma Threshold Values:50 to 100 ppm
111,4-Methyl-5-thiazoleethanol,1136,"sulfur,cooked beef juice,fatty",CC1=C(SC=N1)CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; meaty, brothy, roasted, metallic and nutty"
114,trimethylamine,1146,"sweaty,fish,fishy,oily,rancid,fruity",CN(C)C,flavorDB,Aroma Threshold Values:500 ppb
115,vanillin,1183,"vanilla,chocolate,sweet,creamy",COC1=C(C=CC(=C1)C=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, typical vanilla-like, marshmallow, creamy-coumarin, caramellic with a powdery nuance"
117,dl-Menthol,1254,"camphoraceous,minty",CC1CCC(C(C1)O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; cooling, camphoreous, minty with a clean eucalyptus note"
136,benzyl benzoate,2345,"oil,pineapple,balsamic,herbal,strawberry,oily,faint,sweet,balsam,cherry,almond,herb,cheese",C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; balsamic, fruity with powdery and berry nuances"
149,Eucalyptol,2758,"mint,pepper,herbal,eucalyptus,sweet,camphor",CC1(C2CCC(O1)(CC2)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; cooling, fresh, oily, green, spicy, pine-like"
151,p-Cresol,2879,"smoke,animal,narcissus,phenol,mimosa,medicine,medicinal,phenolic",CC1=CC=C(C=C1)O,flavorDB,Aroma Threshold Values:55 to 100 ppb
153,Decanoic acid,2969,"sour,citrus,fat,rancid,fatty,unpleasant",CCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:2.2 to 102 ppm
165,eugenol,3314,"clove,sweet,woody,honey,spicy,cinnamon",COC1=C(C=CC(=C1)CC=C)O,flavorDB,Aroma Threshold Values:6 to 100 ppb
179,isopropanol,3776,"woody,bitter,musty,alcohol",CC(C)O,flavorDB,Aroma Threshold Values:40 to 601 ppm
185,lauric acid,3893,"coconut,mild,fatty,metal,bay oil",CCCCCCCCCCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; waxy, fatty and oily, tallowlike, creamy and dairylike with a coating mouthfeel"
194,methyl salicylate,4133,"mint,wintergreen,peppermint",COC(=O)C1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, salicylate and root beer with aromatic and balsamic nuances"
220,resorcinol,5054,"musty,creamy,hawthorn,nutty,phenolic",C1=CC(=CC(=C1)O)O,flavorDB,Aroma Threshold Values:6 to 40 ppm
222,safrole,5144,"spice,warm,floral,sassafrass,sweet,woody,anise,spicy",C=CCC1=CC2=C(C=C1)OCO2,flavorDB,Aroma Threshold Values:10 to 160 ppb
225,stearic acid,5281,"fatty,mild",CCCCCCCCCCCCCCCCCC(=O)O,flavorDB,Aroma Threshold Values:20 ppm
238,tyramine,5610,"mild,rubbery,meaty,dirty,cooked,phenolic",C1=CC(=CC=C1CCN)O,flavorDB,"Taste Threshold Values:Mild, sweet, vegetative phenolic taste at 100 ppm in water"
257,L-aspartic acid,5960,acidic,C([C@@H](C(=O)O)N)C(=O)O,flavorDB,Aroma Threshold Values:300 ppb
259,L-lysine,5962,odorless,C(CCN)C[C@@H](C(=O)O)N,flavorDB,Aroma Threshold Values:500 ppm
269,tributyrin,6050,"waxy,bitter,fatty,cheese,creamy",CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; bitter, waxy, fatty, cheese and butter nuances"
270,2-phenylethanol,6054,"lilac,rose,rose water,honey,rose flower,floral,spice,bitter,rose dried",C1=CC=C(C=C1)CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; mushroom-like, rose floral, sweet, rosy, bready with honey nuances"
280,Hexanal,6184,"leafy,grass,sweaty,tallow,fat,fresh,fatty,fruity,aldehydic,green",CCCCCC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.5 ppm; green, woody, vegetative, apple, grassy, citrus and orange with a fresh, lingering aftertaste"
287,1-pentanol,6276,"oil,balsamic,vanilla,fusel,sweet,balsam",CCCCCO,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; intense fusel, fermented, bready and cereal with a fruity undertone"
295,Oxirane,6354,sweet,C1CO1,flavorDB,Aroma Threshold Values:500 ppm
302,bornyl Acetate,6448,"cedar,balsamic,spice,herbal,fresh,sweet,woody,pine needle,pine,camphor",CC(=O)OC1CC2CCC1(C2(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; camphoreous, woody, mentholic, berry and seedy with soapy, woody nuances"
310,77-83-8,6501,"strawberry,floral,fatty,sweet,fruity,honey",CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, berry, strawberry, fruity, tutti-frutti and floral nuances"
315,Linalyl isobutyrate,6532,"light,woody,fruity,bergamot,lavender",CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; floral, fruity, sweet, berry and citrus"
316,Isophorone,6544,"cooling,tobacco,cedarwood,leather,musty,woody,sweet,fruity,camphoraceous,camphor,green",CC1=CC(=O)CC(C1)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, green, waxy, pungent camphoreous, cooling minty"
317,tetrahydrolinalool,6548,"lilac,floral,oily,lily,woody,tea,bois de rose",CCC(C)(CCCC(C)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 15 ppm; clean and fresh, floral, tea-like with citrus and herbal nuances"
318,Linalool,6549,"lemon,citrus,orange,floral,sweet,woody,blueberry,bois de rose,lavender,flower,green",CC(=CCCC(C)(C=C)O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; green, apple and pear with an oily, waxy, slightly citrus note"
320,2-Methyl-1-propanol,6560,"solvent,ether,wine,bitter",CC(C)CO,flavorDB,Aroma Threshold Values:360 ppb to 3.3 ppm
321,Isobutyraldehyde,6561,"malt,fresh,floral,pungent,aldehydic,green",CC(C)C=O,flavorDB,Aroma Threshold Values:0.4 to 43 ppb
323,2-butanone,6569,"ethereal,ether,fruity,acetone,camphor",CCC(=O)C,flavorDB,Taste Threshold Values:Taste characteristics at 5 ppm
324,Methyl Acetate,6584,"sweet,bitter,ether,fruity",CC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; green, ethereal, fruity, fresh, rum and whiskey-like"
325,Isobutyric Acid,6590,"rancid,butter,strawberry,cheese",CC(C)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; acidic, sour dairy, creamy, cheese, cultured dairy nuance"
326,Camphene,6616,"fir needle,woody,herbal,camphor",CC1(C2CCC(C2)C1=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 to 100 ppm; camphoraceous, cooling, minty, with citrus and green spicy nuances"
329,Alpha-pinene,6654,"harsh,turpentine,minty,fresh,earthy,sweet,woody,terpene,pine,camphor",CC1=CCC2CC1C2(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; intense, woody, piney and terpy with camphoraceous and turpentine notes. It has herbal, spicy and slightly tropical mango nuances"
330,Methyl Methacrylate,6658,"acrylic,fruity,aromatic",CC(=C)C(=O)OC,flavorDB,Aroma Threshold Values:Detection at 0.024 to 0.058 ppm (water)
331,80-71-7,6660,"caramel,smoky,maple syrup,maple",CC1=C(C(=O)CC1)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet, maple, bready, caramellic with nutty nuances"
334,3-Methylindole,6736,"very strong,mothball,animal,fecal,indole,civet",CC1=CNC2=CC=CC=C12,flavorDB,Aroma Threshold Values:0.2 ppb
336,Methyl 2-(methylamino)benzoate,6826,"orange,powdery,neroli,wine,grape,musty,sweet,fruity,blossom,phenolic",CNC1=CC=CC=C1C(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity grape skin, anthranilate-like with a woody and floral nuance"
339,Isobutyl salicylate,6873,"herbal,floral,clover,bitter,orchid",CC(C)COC(=O)C1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 3 ppm; sweet, cooling, spicy with fruity nuances"
340,Isoamyl salicylate,6874,"wintergreen,tobacco,metallic,floral,soapy,herbal,woody,bitter,orchid",CC(C)CCOC(=O)C1=CC=CC=C1O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; floral, sweet, green, spicy anise and wintergreen-like"
342,phthalide,6885,"coconut,lactonic,powdery,coumarin,sweet,phenolic,tonka",C1C2=CC=CC=C2C(=O)O1,flavorDB,"Taste Threshold Values:Sweet coumarin, coconut, creamy, anisic, green vegetable, floral taste at 100 ppm in water"
345,2-Ethylbutyric Acid,6915,"sour,caramel,berry,acidic,whiskey,fruity,dry",CCC(CC)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; acidic, fruity, tropical with a creamy aftertaste"
348,2-Isopropylphenol,6943,"phenolic,medicinal,creosote",CC(C)C1=CC=CC=C1O,flavorDB,Aroma Threshold Values:1 ppb
351,"2',4'-Dimethylacetophenone",6985,"floral,woody,sweet,minty,mimosa",CC1=CC(=C(C=C1)C(=O)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; naphthyl phenolic, coumarin, coconut, oily and chemical"
352,2-Isopropyl-5-methylcyclohexanone,6986,"mint,fresh,peppermint,sweet,cool,minty,green",CC1CCC(C(=O)C1)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; cooling, peppermint, fresh green, minty, herbal, dirty mentholic with a refreshing camphoraceous nuance"
354,pulegone,6988,"lime,herbal,buchu,fresh,peppermint,minty,camphor",CC1CCC(=C(C)C)C(=O)C1,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; minty, terpy, cooling, woody pine, citrus lime, with fresh green peppermint notes"
356,Salicylaldehyde,6998,"cooling,medical,wintergreen,spicy,cinnamon",C1=CC=C(C(=C1)C=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; spicy, medicinal and astringent"
357,1-Methylnaphthalene,7002,"naphthyl,medicinal,chemical,camphor",CC1=CC=CC2=CC=CC=C12,flavorDB,Taste Threshold Values:Taste characteristics at 1 ppm
362,"2,6-Dimethoxyphenol",7041,"smoke,powdery,balsamic,smoky,bacon,phenol,woody,medicine,phenolic",COC1=C(C(=CC=C1)OC)O,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; sweet, medicinal, creamy, meaty, vanilla, spice"
364,Quinoline,7047,"rubber,tobacco,medical,musty,earthy",C1=CC=C2C(=C1)C=CC=N2,flavorDB,"Taste Threshold Values:Taste characteristics at 2 to 10 ppm; earthy, musty, nutty, coumarinic with a chemical nuance"
365,2-Naphthalenethiol,7058,"sulfurous,roasted,rubbery,woody,creamy,artichoke,meaty",C1=CC=C2C=C(C=CC2=C1)S,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sulfurous, meaty, brown, roasted, chicken, eggy with a slight nutty nuance"
367,6-Methylcoumarin,7092,"coconut,powdery,sweet,vanilla,anise,balsam,creamy,floral,bitter",CC1=CC2=C(C=C1)OC(=O)C=C2,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; coconut, sweet vanilla, dairy creamy, hay-like with anisic and coumarin nuances"
368,biphenyl,7095,"geranium,rose,pungent,green",C1=CC=C(C=C1)C2=CC=CC=C2,flavorDB,Aroma Threshold Values:0.5 ppb
371,Methyleugenol,7127,"coconut,sweet,balsam,mesquite,clove,peach,anise,musty,creamy,carnation,bitter,oily,spicy,chocolate,warm,raspberry,spice,apricot,vanilla,banana,cinnamon,fresh,plum",COC1=C(C=C(C=C1)CC=C)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 5.0 ppm; spice, cinnamon and clove, mouth tingle, fresh, peppery and woody"
372,2-Ethoxynaphthalene,7129,"orange,powdery,naphtha,grape,floral,blossom",CCOC1=CC2=CC=CC=C2C=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 4 ppm; powdery, floral, soapy and heavy with a berry and grape nuance"
374,2-Methoxy-4-Methylphenol,7144,"phenolic,clove,leather,smoky,bacon,medical,mesquite,carnation,medicinal,bitter,vanilla,spice",CC1=CC(=C(C=C1)O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 1.0 to 1.25 ppm; sweet phenolic, spice, vanilla, medicinal, clove-like, smoky, guaia-col-like with a woody, phenolic nuance"
378,Methyl benzoate,7150,"prune,cananga,floral,wintergreen,lettuce,sweet,almond,herb,phenolic",COC(=O)C1=CC=CC=C1,flavorDB,Taste Threshold Values:Taste characteristics at 30 ppm
380,Ethyl benzoate,7165,"dry,celery,wintergreen,grape,cherry,fruity,sweet,plum,anise,musty,camomile,balsam,strawberry,fruit,minty,berry,cranberry,raspberry,bitter,banana,flower",CCOC(=O)C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sweet, medicinal, green, minty, fruity, birch beer and wintergreen-like"
381,Ethyl benzoylacetate,7170,"sweet,cherry,bitter,acetophenone,fruity",CCOC(=O)CC(=O)C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, cherry, fruity, berry-like with woody, jamy notes"
382,propyl 4-hydroxybenzoate,7175,"burnt,smoky,sweet,woody,hawthorn",CCCOC(=O)C1=CC=C(C=C1)O,flavorDB,Aroma Threshold Values:20 ppb
385,Isopentyl benzoate,7193,"sweet,waxy,balsamic,green",CC(C)CCOC(=O)C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; sweet, fruity with a green tropical nuance"
388,benzothiazole,7222,"rubber,vegetable,gasoline,sulfury,meat,rubbery,coffee,nutty,cooked",C1=CC=C2C(=C1)N=CS2,flavorDB,"Taste Threshold Values:Taste characteristics at 3 ppm; meaty, vegetative, brown, cooked, beefy and coffee-like"
392,"3,4-Dimethylphenol",7249,"flat,dry",CC1=C(C=C(C=C1)O)C,flavorDB,Aroma Threshold Values:1.2 ppm
393,"2,5-Dimethylphenol",7267,"bacon,sweet,naphthyl,phenolic,smoke",CC1=CC(=C(C=C1)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; musty, chemical, stringent and phenolic"
395,2-Methylbutylamine,7283,fishy,CCC(C)CN,flavorDB,"Aroma Threshold Values:High strength odor, fishy type; recommend smelling in a 0.10% solution or less"
396,2-Methylbutyraldehyde,7284,"musty,coffee,cocoa,nutty,almond",CCC(C)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; green, fruity, musty with a berry nuance, musty, furfural and rummy, with nutty and cereal notes, caramel and fruity undernotes"
398,gamma-butyrolactone,7302,"caramel,oily,fatty,sweet,creamy",C1CC(=O)OC1,flavorDB,"Taste Threshold Values:Taste characteristic at 75 ppm; milky, creamy with fruity peach-like afternotes"
401,Carvyl Acetate,7335,"sweet,fruity,minty,spearmint,green",CC1=CCC(CC1OC(=O)C)C(=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; musty, green spearmint, spicy, minty, tropical nuances of guava, fruity pear notes"
404,Ethyl Isobutyrate,7342,"rubber,alcoholic,ethereal,strawberry,sweet,fusel,fruity,rummy",CCOC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 12.5 ppm; pungent, ethereal and fruity with a rum- and eggnog-like nuance. Taste characteristics at 20 ppm:sweet, ethereal, fruity with a rum-like nuance"
405,Ethyl Lactate,7344,"butterscotch,butter,tart,sharp,fruit,fruity,buttery",CCOC(=O)C(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; sweet, fruity, creamy, and pineapplelike with a caramellic brown nuance"
406,Isobutyl isobutyrate,7351,"tropical,pineapple,grape skin",CC(C)COC(=O)C(C)C,flavorDB,"Aroma Threshold Values:sweet, estry and fruity, winey, plum, apple and banana-like"
407,butyl isobutyrate,7353,"apple,banana,sweet,fruity,tropical,green",CCCCOC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; fruity, sweet, pineapple, apple, cherry, tutti-frutti, banana"
408,2-Ethylbutanal,7359,"ethereal,cocoa,sweet,fruity,green",CCC(CC)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, cocoa with sweet, fresh nuances"
410,furfuryl Alcohol,7361,"coffee,alcoholic,bitter,musty,chemical,caramel,sweet,burnt,bread",C1=COC(=C1)CO,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; burnt, sweet, caramellic and brown"
411,2-furaldehyde,7362,"fragrant,bread,woody,sweet,baked,almond",C1=COC(=C1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; brown, sweet, woody, bready, nutty, caramellic with a burnt astringent nuance"
416,1-phenylethanol,7409,"acetophenone,gardenia,fresh,sweet,hyacinth",CC(C1=CC=CC=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; chemical, medicinal, with a balsamic vanilla woody nuance"
417,Acetophenone,7410,"mimosa,hawthorn,sweet,acacia,almond,pungent,hawthorne,chemical,flower,bitter,must",CC(=O)C1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, nutty, benzaldehyde with musty, fruity notes"
418,Cyclohexanecarboxylic Acid,7413,"acidic,tropical,fruity,metallic,cheese",C1CCC(CC1)C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; fruity, woody, berry-like with green dirty nuances"
420,Carveol,7438,"caraway,minty,spearmint,fresh",CC1=CCC(CC1O)C(=C)C,flavorDB,Aroma Threshold Values:4 ppm
421,Carvone,7439,"mint,licorice,fennel,basil,minty",CC1=CCC(CC1=O)C(=C)C,flavorDB,Aroma Threshold Values:2.7 to 600 ppb
423,Methyl 4-hydroxybenzoate,7456,burn,COC(=O)C1=CC=C(C=C1)O,flavorDB,Aroma Threshold Values:2.6 ppm
425,Alpha-phellandrene,7460,"mint,citrus,peppery,spice,herbal,turpentine,woody,terpene,green",CC1=CCC(C=C1)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; terpenic, citrus-lime with a fresh green note"
426,Gamma-terpinene,7461,"lemon,gasoline,tropical,terpene,turpentine,herbal,woody,bitter,oily,lime",CC1=CCC(=CC1)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; terpy, citrus, limelike, oily, green with a tropical fruity nuance"
427,Alpha-terpinene,7462,"lemon,citrus,terpene,medicinal,herbal,woody,bitter,camphoraceous",CC1=CC=C(CC1)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 100 ppm; terpy, woody, piney, citrus lemon and lime with spice and mint nuances"
